	PL01	PL02	3D7
PF3D7_0934500	867	291	148
PF3D7_1247200	45	19	0
PF3D7_1223500	192	63	54
PF3D7_1125800	2777	610	975
PF3D7_API00200	0	0	0
PF3D7_API05600	0	0	0
PF3D7_API05200	0	0	0
PF3D7_0105300	451	182	100
PF3D7_1415700	179	50	13
PF3D7_0111300	145	87	33
PF3D7_0101800	0	3	1
PF3D7_0617400	16	10	189
PF3D7_0215000	1526	430	526
PF3D7_1457700	660	202	207
PF3D7_API04600	0	0	0
PF3D7_1365200	143	42	9
PF3D7_1250300	260	65	96
PF3D7_0514400	1	0	0
PF3D7_1207400	21	7	5
PF3D7_1000200	8	6	1
PF3D7_1237100	186	65	39
PF3D7_1041300	8	8	39
PF3D7_0912600	4	0	0
PF3D7_1312600	181	60	58
PF3D7_1408000	4646	1285	579
PF3D7_0613700	639	248	81
PF3D7_1250200	969	330	217
PF3D7_0823300	2765	902	791
PF3D7_0817100	69	14	4
PF3D7_0804000	556	210	144
PF3D7_0211400	17	4	0
PF3D7_0626400	129	66	41
PF3D7_1370000	0	0	0
PF3D7_1239000	296	112	31
PF3D7_1337700	97	49	21
PF3D7_1018200	1141	495	565
PF3D7_0831200	1236	331	477
PF3D7_0517900	171	101	75
PF3D7_0732000	0	0	0
PF3D7_0934400	727	271	245
PF3D7_0207300	12	10	2
PF3D7_0611800	887	255	56
PF3D7_0304600	308	120	61
PF3D7_1403400	56	22	2
PF3D7_0201500	126	71	24
PF3D7_1305800	10	2	0
PF3D7_1444500	71	26	12
PF3D7_1303400	1926	665	669
PF3D7_1138100	0	1	0
PF3D7_1012300	849	293	66
PF3D7_0821400	723	339	41
PF3D7_1457100	71	56	11
PF3D7_0205600	701	270	176
PF3D7_1447600	7	3	0
PF3D7_1435400	327	139	50
PF3D7_1340300	970	337	316
PF3D7_1244000	171	65	29
PF3D7_0516300	355	99	147
PF3D7_0609300	14	6	0
PF3D7_0212600	1031	283	62
PF3D7_1419700	6135	2465	3960
PF3D7_1139400	6	0	0
PF3D7_0529000	807	230	68
PF3D7_0408100	212	67	40
PF3D7_0514300	142	59	51
PF3D7_1019200	6	2	3
PF3D7_1465100	81	47	12
PF3D7_1252400	906	205	1229
PF3D7_0322500	6	1	1
PF3D7_0714200	421	166	193
PF3D7_0111800	343	90	47
PF3D7_1430100	219	66	58
PF3D7_1330900	0	0	0
PF3D7_0212300	3942	1506	757
PF3D7_0605700	16	7	4
PF3D7_1478600	226	99	44
PF3D7_1462700	730	230	127
PF3D7_1402200	87	24	11
PF3D7_1341100	153	49	94
PF3D7_0529900	370	151	72
PF3D7_1410600	3059	1007	489
PF3D7_1105300	168	74	14
PF3D7_1436800	10	2	2
PF3D7_0311200	108	36	26
PF3D7_0401900	774	458	186
PF3D7_1208900	825	326	105
PF3D7_1338700	210	111	131
PF3D7_API06600	0	0	0
PF3D7_0703600	130	47	13
PF3D7_1251100	639	269	212
PF3D7_0405900	629	221	140
PF3D7_1416000	9	5	2
PF3D7_1358800	3423	1264	311
PF3D7_0912900	278	110	55
PF3D7_0722400	2210	717	642
PF3D7_0114200	5	13	0
PF3D7_0708100	312	102	35
PF3D7_0701700	0	0	0
PF3D7_1366500	397	182	60
PF3D7_1311500	4826	1999	1721
PF3D7_0305800	71	19	22
PF3D7_0102500	5015	1242	2025
PF3D7_1450600	274	79	70
PF3D7_MIT02100	1491	383	726
PF3D7_0206600	24	10	4
PF3D7_1106200	20	7	1
PF3D7_1479600	0	1	0
PF3D7_0936700	86	26	25
PF3D7_0201700	773	314	459
PF3D7_0407100	16	16	0
PF3D7_1412600	416	110	63
PF3D7_1331700	4244	1659	920
PF3D7_0526000	14	4	0
PF3D7_1134200	179	70	8
PF3D7_0205100	59	16	6
PF3D7_0601800	5	0	1
PF3D7_API03100	0	0	0
PF3D7_1305000	1120	400	445
PF3D7_0420500	6	3	2
PF3D7_1202300	21	12	3
PF3D7_0803200	619	271	212
PF3D7_0811700	33	12	16
PF3D7_0724000	28	9	3
PF3D7_1137600	4	1	0
PF3D7_1111900	14	7	2
PF3D7_0907700	1245	501	561
PF3D7_1321300	138	44	10
PF3D7_1130800	21	12	3
PF3D7_0609800	174	60	49
PF3D7_0100800	0	0	0
PF3D7_0624000	8207	2549	1551
PF3D7_0523500	13	2	6
PF3D7_MIT02300	60	16	9
PF3D7_1476500	1049	470	93
PF3D7_0209000	403	129	44
PF3D7_1127400	15	7	1
PF3D7_0931600	1	0	0
PF3D7_1331400	120	35	33
PF3D7_0628000	70	24	16
PF3D7_1443000	39	13	6
PF3D7_0932200	886	339	293
PF3D7_1402600	6	2	2
PF3D7_1103700	351	134	98
PF3D7_1463000	40	18	7
PF3D7_0606800	98	51	4
PF3D7_1356700	74	21	16
PF3D7_1433000	731	257	337
PF3D7_0935900	12664	5677	5217
PF3D7_0919100	397	142	50
PF3D7_1229400	599	166	108
PF3D7_0219300	37	9	7
PF3D7_0419800	90	31	86
PF3D7_0624200	243	98	83
PF3D7_0829200	1624	483	169
PF3D7_1243700	1791	390	616
PF3D7_0930800	133	36	17
PF3D7_0202900	0	0	0
PF3D7_0729300	170	47	24
PF3D7_1102300	94	39	36
PF3D7_1014400	149	67	44
PF3D7_0403600	332	97	24
PF3D7_0815800	772	283	172
PF3D7_0111200	16	3	1
PF3D7_0623700	102	50	29
PF3D7_0828200	350	140	32
PF3D7_0309400	2	0	1
PF3D7_0728200	8	6	0
PF3D7_1319900	6	3	1
PF3D7_1146000	311	92	90
PF3D7_1467900	938	305	372
PF3D7_1239200	881	395	213
PF3D7_0500800	2603	2867	2744
PF3D7_1102100	3	11	0
PF3D7_0525600	178	75	14
PF3D7_1304800	1	0	0
PF3D7_1122200	232	53	35
PF3D7_0101200	0	0	0
PF3D7_0629700	1617	396	312
PF3D7_1318300	285	124	40
PF3D7_0106900	45	27	10
PF3D7_0310200	2691	791	1018
PF3D7_0304000	18	10	3
PF3D7_0421200	1	0	0
PF3D7_0731900	1	2	0
PF3D7_0902500	187	44	14
PF3D7_1316200	115	34	85
PF3D7_0919000	13857	4305	7370
PF3D7_0412900	0	0	14
PF3D7_0818900	45626	15384	4756
PF3D7_1226800	114	51	26
PF3D7_1221400	211	85	27
PF3D7_0630100	73	20	9
PF3D7_0214700	78	26	17
PF3D7_1316700	12	3	1
PF3D7_0618600	67	21	1
PF3D7_0104100	44	21	8
PF3D7_0700700	1	0	0
PF3D7_1215400	133	70	15
PF3D7_0706800	3	1	3
PF3D7_0710900	126	51	21
PF3D7_0221000	0	0	0
PF3D7_0831800	2052	681	1309
PF3D7_1032900	142	47	29
PF3D7_1415500	178	72	60
PF3D7_1016000	43	9	1
PF3D7_0607800	325	87	101
PF3D7_0404400	52	29	0
PF3D7_0625400	118	38	26
PF3D7_0324100	0	5	0
PF3D7_1466800	1553	560	129
PF3D7_0822900	3323	1047	853
PF3D7_1139300	857	274	158
PF3D7_0530000	204	66	12
PF3D7_1314100	88	26	16
PF3D7_1110500	509	236	232
PF3D7_0202400	42576	4058	4135
PF3D7_0708500	481	200	119
PF3D7_1003300	204	67	20
PF3D7_1118000	161	46	19
PF3D7_API02800	0	0	0
PF3D7_0218300	78	22	10
PF3D7_1477000	122	42	13
PF3D7_1455300	1727	459	296
PF3D7_1240100	194	62	25
PF3D7_0802800	1208	475	325
PF3D7_0110500	1177	313	674
PF3D7_1365900	14200	4863	4664
PF3D7_0110200	36	12	2
PF3D7_0913900	40	24	4
PF3D7_0622800	3510	1334	721
PF3D7_1420900	93	42	39
PF3D7_1318600	75	26	19
PF3D7_0422600	28	9	0
PF3D7_0527400	338	143	7
PF3D7_0931100	683	217	332
PF3D7_0416600	17	5	1
PF3D7_1427700	1	0	1
PF3D7_0425600	0	1	0
PF3D7_1461000	8	4	0
PF3D7_1473900	186	67	25
PF3D7_1475100	98	32	8
PF3D7_0710600	9534	3293	3215
PF3D7_0725300	2703	411	1395
PF3D7_1000700	2	0	0
PF3D7_0517200	2277	479	2811
PF3D7_1436600	1180	472	922
PF3D7_1475400	63	17	8
PF3D7_1245200	27	16	3
PF3D7_1208000	3	4	1
PF3D7_0313000	72	44	19
PF3D7_1112800	1	2	0
PF3D7_1231000	109	54	19
PF3D7_1337000	82	19	4
PF3D7_1138300	12	4	0
PF3D7_1019900	1756	430	1076
PF3D7_0512400	33	17	4
PF3D7_1134100	52	31	3
PF3D7_0107000	1692	915	751
PF3D7_0302900	1447	590	200
PF3D7_1004200	653	254	113
PF3D7_0602000	228	81	39
PF3D7_1121200	13	4	2
PF3D7_0315200	93	21	173
PF3D7_1100600	0	0	0
PF3D7_1124500	17	8	3
PF3D7_0813500	448	162	122
PF3D7_0937000	12	4	0
PF3D7_0914800	38	11	10
PF3D7_0830700	331	128	80
PF3D7_1359100	129	48	30
PF3D7_0619400	4950	1823	1596
PF3D7_1471200	2293	1182	443
PF3D7_0505100	1052	434	252
PF3D7_0521400	78	29	5
PF3D7_1360900	1142	393	241
PF3D7_0912700	2	2	1
PF3D7_1251600	170	76	37
PF3D7_0715300	53	18	5
PF3D7_1319300	1093	408	300
PF3D7_1217900	338	90	77
PF3D7_0630500	71	31	5
PF3D7_1345100	1033	405	104
PF3D7_1313000	476	196	85
PF3D7_1469200	375	75	523
PF3D7_1366200	45	28	4
PF3D7_1458400	26	19	2
PF3D7_1459900	20	8	5
PF3D7_1234900	980	354	197
PF3D7_1037800	12	12	0
PF3D7_0803700	934	384	90
PF3D7_0815000	108	39	13
PF3D7_0108100	33	16	26
PF3D7_0702900	83	36	28
PF3D7_0525700	0	0	0
PF3D7_1206100	36	9	0
PF3D7_0807000	91	26	75
PF3D7_1230400	733	275	42
PF3D7_1246000	9	3	1
PF3D7_1423300	1019	335	305
PF3D7_1361700	283	85	46
PF3D7_0612300	1	0	0
PF3D7_1211700	4059	1852	1564
PF3D7_0712600	13	15	422
PF3D7_0320700	283	91	15
PF3D7_1371600	1178	423	450
PF3D7_1032100	1133	363	246
PF3D7_1421150	1	0	0
PF3D7_1005400	2	1	0
PF3D7_1000300	0	1	0
PF3D7_1021100	152	60	11
PF3D7_1355100	2701	985	696
PF3D7_1426700	337	183	79
PF3D7_0800700	11	12	1
PF3D7_1452600	155	56	46
PF3D7_0918200	246	85	90
PF3D7_0408200	71	32	22
PF3D7_1326800	54	21	2
PF3D7_0619900	90	25	23
PF3D7_1238900	604	165	253
PF3D7_1202100	286	109	94
PF3D7_1027300	7975	3398	3314
PF3D7_0209500	10	5	1
PF3D7_1474500	1087	420	720
PF3D7_0813100	134	54	32
PF3D7_1332100	38	9	5
PF3D7_1328100	1193	488	112
PF3D7_0303700	1293	509	303
PF3D7_0422200	361	112	58
PF3D7_1333400	80	35	27
PF3D7_1104100	608	210	105
PF3D7_0307000	0	0	0
PF3D7_0102900	3730	1038	2481
PF3D7_0501300	26631	6192	12664
PF3D7_1210800	0	0	0
PF3D7_0827900	5815	1650	2168
PF3D7_1459000	1425	496	421
PF3D7_1442600	32	10	5
PF3D7_0102100	21	6	0
PF3D7_0626900	75	27	49
PF3D7_0936300	6303	2454	2197
PF3D7_0322000	10950	3827	4094
PF3D7_1138350	298	80	28
PF3D7_1126500	1792	636	225
PF3D7_0923900	1553	450	250
PF3D7_0523100	323	95	78
PF3D7_1434600	745	248	238
PF3D7_1436100	117	51	5
PF3D7_1245400	153	43	22
PF3D7_1312400	32	14	7
PF3D7_0604600	37	13	7
PF3D7_1331900	0	0	0
PF3D7_1254300	0	0	0
PF3D7_1028700	4771	1098	2176
PF3D7_0833400	30	37	0
PF3D7_0809100	52	34	401
PF3D7_0313600	326	99	81
PF3D7_0407800	1427	576	333
PF3D7_1449600	100	50	13
PF3D7_1040000	0	1	0
PF3D7_1320800	678	226	165
PF3D7_1110100	465	236	158
PF3D7_1223000	10	6	4
PF3D7_0822800	253	83	27
PF3D7_1432400	46	21	9
PF3D7_1107800	5053	1559	1527
PF3D7_0517400	7895	2643	7691
PF3D7_0601400	0	0	0
PF3D7_1365400	75	24	17
PF3D7_0504000	508	188	75
PF3D7_0627500	1181	364	388
PF3D7_1323500	147	60	14
PF3D7_1400600	2	0	1
PF3D7_1476400	352	68	41
PF3D7_0907600	266	96	49
PF3D7_0700900	0	0	0
PF3D7_1464100	10	5	1
PF3D7_1403000	15	6	6
PF3D7_1251300	677	261	280
PF3D7_1140300	36	20	4
PF3D7_0709600	166	63	8
PF3D7_0814500	59	24	8
PF3D7_1124800	714	237	140
PF3D7_0307200	6978	2764	1551
PF3D7_0324300	0	0	0
PF3D7_1463200	1391	508	436
PF3D7_1409400	6045	1612	17085
PF3D7_0113300	120	42	19
PF3D7_1461100	39	34	11
PF3D7_1251000	10	3	0
PF3D7_1373100	1	0	0
PF3D7_1137000	124	33	13
PF3D7_1452700	798	350	119
PF3D7_0603400	583	254	203
PF3D7_0632250	0	0	0
PF3D7_1478500	0	0	0
PF3D7_1223100	1910	661	888
PF3D7_1422900	19	5	0
PF3D7_1247400	1459	437	290
PF3D7_0210500	53	20	7
PF3D7_1253700	73	54	0
PF3D7_0723400	2836	1097	1986
PF3D7_0728600	682	279	474
PF3D7_0816400	140	86	28
PF3D7_1131300	5	1	1
PF3D7_1372800	0	3	0
PF3D7_1368200	1775	612	240
PF3D7_1324400	295	103	59
PF3D7_0208200	296	107	32
PF3D7_0707900	372	147	66
PF3D7_0404200	27	3	3
PF3D7_1464800	1	0	0
PF3D7_0106500	38	37	4
PF3D7_1323200	6451	1590	3947
PF3D7_0601100	0	0	0
PF3D7_1358700	181	97	15
PF3D7_0108900	0	1	0
PF3D7_0625000	20	7	5
PF3D7_1127000	423	103	72
PF3D7_0903500	253	92	84
PF3D7_1107100	102	70	31
PF3D7_0211500	139	49	237
PF3D7_1345200	157	77	25
PF3D7_0903100	91	31	25
PF3D7_1001700	622	223	307
PF3D7_0905200	374	104	102
PF3D7_0111000	462	153	112
PF3D7_0629100	200	84	26
PF3D7_1323600	203	87	47
PF3D7_0109300	15	7	2
PF3D7_0806200	136	52	22
PF3D7_0609100	316	120	130
PF3D7_0411100	61	16	8
PF3D7_0501000	2500	598	254
PF3D7_1130400	1888	656	454
PF3D7_0631400	0	0	0
PF3D7_1427900	11810	4667	5292
PF3D7_0724600	69	30	9
PF3D7_1456900	7	3	0
PF3D7_1226000	65	18	6
PF3D7_1431100	862	261	39
PF3D7_0713400	383	94	96
PF3D7_1218700	10	4	0
PF3D7_0507400	59	11	10
PF3D7_1143100	2402	649	1101
PF3D7_1101300	3	5	0
PF3D7_1005800	26	14	4
PF3D7_1236300	62	26	0
PF3D7_1002200	504	221	178
PF3D7_1400500	0	1	0
PF3D7_0103100	102	47	39
PF3D7_0623000	511	224	157
PF3D7_0717000	27	21	4
PF3D7_0307700	1010	403	228
PF3D7_1414400	1544	816	135
PF3D7_1003100	17	3	1
PF3D7_0410500	2	0	1
PF3D7_1431500	530	200	172
PF3D7_1336100	11	5	0
PF3D7_1441200	2663	1190	229
PF3D7_1229200	5	1	0
PF3D7_1360800	4017	1512	954
PF3D7_1223900	66	52	5
PF3D7_1206000	108	30	19
PF3D7_0106300	2646	910	1149
PF3D7_0931900	13	7	0
PF3D7_0824100	72	28	8
PF3D7_0416000	631	296	63
PF3D7_0827300	222	62	55
PF3D7_1470900	528	234	39
PF3D7_0500400	0	2	0
PF3D7_0406200	64175	18665	33784
PF3D7_1334100	539	176	130
PF3D7_0903400	2080	607	749
PF3D7_0707600	91	43	14
PF3D7_1213100	178	56	27
PF3D7_0526900	179	89	21
PF3D7_1448900	7	6	0
PF3D7_1143900	255	59	23
PF3D7_0821200	275	97	55
PF3D7_1004900	151	41	7
PF3D7_0310500	535	181	69
PF3D7_0810300	4857	1566	3480
PF3D7_1342100	1491	485	536
PF3D7_0827400	30	8	12
PF3D7_0601600	2	3	0
PF3D7_0710700	669	262	150
PF3D7_1136900	791	213	364
PF3D7_0822600	2679	904	658
PF3D7_0731800	66	25	17
PF3D7_1300900	0	3	1
PF3D7_1475900	19	11	5
PF3D7_0616200	396	136	251
PF3D7_1479200	0	0	0
PF3D7_0917000	310	113	297
PF3D7_1138400	257	89	62
PF3D7_0811500	214	74	72
PF3D7_1020200	106	38	4
PF3D7_0719500	85	45	18
PF3D7_1211100	6	4	1
PF3D7_0920400	241	53	81
PF3D7_1373500	36	4	55
PF3D7_1318500	16	0	1
PF3D7_0313900	2	0	0
PF3D7_1372500	9	9	0
PF3D7_1472200	1755	568	279
PF3D7_1346100	8788	2856	3424
PF3D7_0808000	55	18	13
PF3D7_0926900	129	58	14
PF3D7_0300800	0	2	0
PF3D7_1454900	59	15	2
PF3D7_0114400	3	7	1
PF3D7_0935400	12	0	0
PF3D7_1253800	0	0	0
PF3D7_1431400	692	299	320
PF3D7_1014900	327	171	69
PF3D7_0513700	143	56	3
PF3D7_0710300	103	43	51
PF3D7_1103800	972	351	157
PF3D7_0300400	0	0	3
PF3D7_1306800	123	51	32
PF3D7_1123500	1049	364	359
PF3D7_1437800	87	39	19
PF3D7_1311600	345	179	46
PF3D7_1402550	8	3	1
PF3D7_0315000	6	3	1
PF3D7_1418300	19	9	0
PF3D7_0921100	24	3	1
PF3D7_0629300	164	69	316
PF3D7_0911200	12	2	0
PF3D7_1010300	3223	1060	71
PF3D7_0614500	8271	2681	1441
PF3D7_0102800	72	27	9
PF3D7_0306000	32	10	3
PF3D7_1322300	239	107	33
PF3D7_0632600	2	2	6
PF3D7_0904100	1077	452	616
PF3D7_0630800	22	10	6
PF3D7_1214000	16	5	4
PF3D7_0820500	1266	445	498
PF3D7_1322900	62	12	10
PF3D7_0222600	0	2	0
PF3D7_1144000	2461	786	319
PF3D7_0910400	130	43	40
PF3D7_0419300	50	22	5
PF3D7_0617600	0	1	66
PF3D7_0917400	54	18	11
PF3D7_1016500	48	11	9
PF3D7_1237600	382	146	30
PF3D7_0923800	810	292	173
PF3D7_1442900	1477	507	445
PF3D7_1336900	171	80	19
PF3D7_0420200	89	18	1
PF3D7_1001900	307	134	27
PF3D7_1454800	2	3	0
PF3D7_1319600	52	13	5
PF3D7_0220800	637	287	160
PF3D7_0107100	28	18	5
PF3D7_0605200	132	31	33
PF3D7_1128400	810	176	260
PF3D7_API06200	0	0	0
PF3D7_1417700	264	93	27
PF3D7_0105500	55	25	4
PF3D7_1329000	564	182	104
PF3D7_API00700	0	0	0
PF3D7_1467800	27	5	2
PF3D7_0601200	0	0	0
PF3D7_1100300	2	2	0
PF3D7_0626700	383	157	43
PF3D7_0628900	54	14	14
PF3D7_1141300	161	78	20
PF3D7_0502600	129	53	20
PF3D7_0424900	631	80	402
PF3D7_0900100	20	19	64
PF3D7_1434000	0	0	0
PF3D7_1134000	4293	1294	490
PF3D7_1212600	7	2	3
PF3D7_1029500	0	0	0
PF3D7_0606200	764	279	162
PF3D7_0300500	0	1	0
PF3D7_1452900	35	22	2
PF3D7_1439500	356	173	206
PF3D7_1205300	34	7	0
PF3D7_0901000	1	0	0
PF3D7_0311100	730	293	378
PF3D7_1040300	10	7	14
PF3D7_0819500	145	52	6
PF3D7_0929600	16	4	6
PF3D7_0925300	146	81	29
PF3D7_0804600	126	34	8
PF3D7_0732800	0	1	0
PF3D7_1422800	46	28	8
PF3D7_1444800	33625	9560	17386
PF3D7_1453200	127	62	39
PF3D7_0108600	45	12	3
PF3D7_1428400	117	40	8
PF3D7_0824000	42	6	4
PF3D7_1304900	181	56	28
PF3D7_0711900	0	0	2
PF3D7_0803100	597	240	210
PF3D7_0520500	332	116	17
PF3D7_0528400	194	63	39
PF3D7_1114600	7	2	0
PF3D7_1318000	92	26	12
PF3D7_0937700	0	2	1
PF3D7_0923500	140	53	33
PF3D7_0513400	16	12	5
PF3D7_0708700	731	240	269
PF3D7_1357100	9268	2374	2953
PF3D7_1022200	149	41	12
PF3D7_1016600	49	29	6
PF3D7_0832900	0	2	2
PF3D7_0503100	50	18	10
PF3D7_0827700	1	0	0
PF3D7_1340700	271	106	44
PF3D7_1319500	7	3	0
PF3D7_0312700	0	0	0
PF3D7_1210700	235	111	31
PF3D7_0704900	26	10	5
PF3D7_1000900	0	0	0
PF3D7_0409400	454	178	44
PF3D7_1104900	337	117	116
PF3D7_1244900	64	17	8
PF3D7_0401300	1	2	0
PF3D7_1306200	603	348	27
PF3D7_1228500	196	51	63
PF3D7_0222400	0	0	0
PF3D7_1228200	25	8	7
PF3D7_0115700	7	18	91
PF3D7_0904900	1154	499	432
PF3D7_MIT01400	4	0	0
PF3D7_1102400	61	19	6
PF3D7_1236000	580	188	252
PF3D7_0219000	2	1	0
PF3D7_0716400	758	314	135
PF3D7_1144300	18187	5334	3580
PF3D7_0525500	272	54	78
PF3D7_1120400	102	35	33
PF3D7_1113900	17	2	5
PF3D7_1443400	136	60	43
PF3D7_1369500	1676	558	1628
PF3D7_1237900	3758	1179	1173
PF3D7_1127700	5	1	0
PF3D7_1336000	299	83	16
PF3D7_0110000	941	261	86
PF3D7_1340100	114	35	19
PF3D7_0617000	243	89	30
PF3D7_1023300	32	13	0
PF3D7_0630900	493	186	142
PF3D7_0826800	1	1	0
PF3D7_0317700	598	202	207
PF3D7_1351500	0	0	0
PF3D7_0934900	56	16	2
PF3D7_0716900	111	57	14
PF3D7_0701000	0	0	0
PF3D7_1119500	28	22	4
PF3D7_0421800	2	0	0
PF3D7_0410000	826	287	236
PF3D7_0619800	160	42	27
PF3D7_1462500	3	1	0
PF3D7_1249700	21	3	6
PF3D7_1139900	67	20	16
PF3D7_1346600	11	8	2
PF3D7_1215700	0	1	0
PF3D7_1107000	2762	881	2198
PF3D7_0112900	35	7	2
PF3D7_0927900	1487	548	1388
PF3D7_1128300	154	31	7
PF3D7_1250700	298	113	37
PF3D7_1427000	138	56	75
PF3D7_1224800	66	16	5
PF3D7_1132800	4318	1379	420
PF3D7_0924600	208	98	80
PF3D7_0916600	9	6	0
PF3D7_1251800	151	41	16
PF3D7_0304300	21	13	2
PF3D7_1147400	177	57	74
PF3D7_0307300	53	12	17
PF3D7_1246600	313	124	46
PF3D7_0909300	1482	416	625
PF3D7_0714500	357	130	101
PF3D7_1233000	200	71	45
PF3D7_1356200	1117	294	154
PF3D7_1440700	305	128	67
PF3D7_1147800	119	35	24
PF3D7_1253900	0	0	0
PF3D7_1114500	15	4	2
PF3D7_0718500	463	167	51
PF3D7_1365100	1	0	0
PF3D7_1248200	146	51	54
PF3D7_0302600	137	64	23
PF3D7_0812900	24	13	4
PF3D7_1404100	259	77	22
PF3D7_0935600	4812	1408	2148
PF3D7_1141700	174	74	15
PF3D7_1419500	35	17	1
PF3D7_1237700	252	97	11
PF3D7_1244600	417	136	127
PF3D7_0922200	22822	8544	16570
PF3D7_1315200	181	67	31
PF3D7_1133400	6824	1885	2254
PF3D7_1466400	1320	520	190
PF3D7_1107600	2	0	0
PF3D7_1474200	52	13	8
PF3D7_0825800	57	8	7
PF3D7_0805900	74	29	13
PF3D7_1473500	71	30	8
PF3D7_1225800	1330	498	209
PF3D7_1463100	0	0	0
PF3D7_1360300	11	2	1
PF3D7_1131700	4	3	1
PF3D7_1479500	0	1	0
PF3D7_0421100	2	0	26
PF3D7_0222000	0	0	0
PF3D7_0512800	321	79	45
PF3D7_0519000	50	9	3
PF3D7_0705600	293	75	52
PF3D7_1346800	21	7	1
PF3D7_0901500	9	2	1
PF3D7_0527300	443	151	68
PF3D7_1475000	7	0	0
PF3D7_1370200	0	1	0
PF3D7_0408900	128	71	17
PF3D7_1038200	13	1	1
PF3D7_1026800	12106	3557	1500
PF3D7_1149600	771	294	220
PF3D7_1110700	546	271	67
PF3D7_1214200	11	6	0
PF3D7_0615200	20	7	0
PF3D7_1458500	162	90	40
PF3D7_1008900	927	408	175
PF3D7_1253000	189	82	773
PF3D7_1150300	1	6	0
PF3D7_1034200	182	84	30
PF3D7_0314700	1480	363	174
PF3D7_0909200	3	1	0
PF3D7_1330300	384	118	90
PF3D7_0906300	42	15	5
PF3D7_0200200	8	15	0
PF3D7_1304300	4	3	1
PF3D7_0514800	57	22	17
PF3D7_1311900	4935	1663	736
PF3D7_0101700	0	0	0
PF3D7_1331800	12065	3723	1784
PF3D7_0319800	5	1	0
PF3D7_0716500	56	22	6
PF3D7_1446800	67	14	13
PF3D7_1329100	520	176	103
PF3D7_1222100	57	16	8
PF3D7_1037200	14	8	0
PF3D7_0804400	149	45	28
PF3D7_1001600	462	260	265
PF3D7_0311800	291	111	60
PF3D7_1200400	13	28	42
PF3D7_0808900	5	6	2
PF3D7_0302400	0	0	0
PF3D7_1449700	196	80	35
PF3D7_0511600	2	1	0
PF3D7_0627300	1796	795	226
PF3D7_1018000	62	29	23
PF3D7_1309000	173	53	50
PF3D7_1357700	1061	379	110
PF3D7_1465900	5430	1905	807
PF3D7_0114000	4677	1774	1315
PF3D7_1129500	94	34	5
PF3D7_1031300	109	41	66
PF3D7_0103900	312	132	48
PF3D7_1479000	133	34	9
PF3D7_0600300	8	3	0
PF3D7_1030700	25	16	3
PF3D7_0404600	272	208	110
PF3D7_0819100	128	55	15
PF3D7_1233050	0	0	0
PF3D7_0718600	63	25	35
PF3D7_1463600	0	1	0
PF3D7_0217000	44	24	4
PF3D7_1306700	162	53	64
PF3D7_0101400	0	0	0
PF3D7_0823000	79	37	10
PF3D7_0711600	0	0	0
PF3D7_1016200	63	36	11
PF3D7_0913700	356	145	21
PF3D7_1416500	1336	270	439
PF3D7_1116700	12232	2696	4536
PF3D7_0519300	61	9	7
PF3D7_1233200	282	77	42
PF3D7_1108600	4828	2166	1111
PF3D7_0316000	210	24	79
PF3D7_1013900	333	137	81
PF3D7_0217600	247	109	46
PF3D7_0215800	221	78	66
PF3D7_1117500	270	99	47
PF3D7_0903900	2687	973	337
PF3D7_0109100	335	81	11
PF3D7_0628500	6	4	2
PF3D7_1325800	161	43	31
PF3D7_1341600	182	66	21
PF3D7_1224600	84	25	10
PF3D7_1004800	79	28	3
PF3D7_0704100	363	116	45
PF3D7_1210600	671	237	96
PF3D7_0533100	600	64	15
PF3D7_0903200	488	174	110
PF3D7_1406500	25	8	2
PF3D7_1035500	2574	912	1836
PF3D7_1450500	413	245	724
PF3D7_1232300	15	4	3
PF3D7_0302200	775	349	23
PF3D7_0205500	153	78	24
PF3D7_0513500	31	10	5
PF3D7_1346500	156	75	21
PF3D7_0810600	1903	693	1118
PF3D7_1368500	18	9	0
PF3D7_0612800	94	44	10
PF3D7_1419200	98	39	10
PF3D7_0510000	768	69	41
PF3D7_0518900	10	4	2
PF3D7_1438400	148	68	39
PF3D7_1218200	222	71	22
PF3D7_0908300	115	45	20
PF3D7_0315500	125	48	15
PF3D7_1017400	466	175	105
PF3D7_1439000	190	110	38
PF3D7_0909000	41	15	2
PF3D7_0320000	148	48	29
PF3D7_0732100	6	1	0
PF3D7_1226200	10	1	0
PF3D7_1460100	842	277	117
PF3D7_1021700	376	114	104
PF3D7_1203300	67	26	10
PF3D7_1121300	406	204	274
PF3D7_1117700	7944	2951	1305
PF3D7_1112200	28	15	4
PF3D7_0808800	3	0	1
PF3D7_1145700	22	6	1
PF3D7_0413100	0	0	7
PF3D7_0203000	609	238	386
PF3D7_API01600	0	0	0
PF3D7_1316900	585	230	284
PF3D7_0937600	0	5	87
PF3D7_0605300	224	68	10
PF3D7_1249800	645	186	77
PF3D7_1201000	5003	769	1816
PF3D7_0814600	26	7	2
PF3D7_1431000	274	103	50
PF3D7_0718100	249	82	29
PF3D7_0629400	574	220	54
PF3D7_1430500	22	4	9
PF3D7_1327400	78	45	10
PF3D7_1207800	481	199	163
PF3D7_0625700	60	42	5
PF3D7_0926000	100	36	13
PF3D7_0816800	185	68	20
PF3D7_0312900	49	6	22
PF3D7_1214500	21	7	2
PF3D7_1035600	226	77	65
PF3D7_0301000	43	23	8
PF3D7_1416600	17	10	1
