	T5	T10	T15	T20	T25	T30	T35	T40
PF3D7_1221900	7627	13746	13981	15605	4940	1987	1396	1311
PF3D7_0322900	3061	13763	16597	37410	26559	24533	27766	22816
PF3D7_0934100	281	735	902	1877	1282	1440	2345	2579
PF3D7_0918100	1580	3560	4353	3638	1105	1024	1643	1972
PF3D7_1018100	5	8	4	8	14	12	26	27
PF3D7_1019400	754	2550	4421	5815	6607	5212	6092	5700
PF3D7_1211200	2343	4149	4352	4813	3596	3228	4610	5964
PF3D7_0518300	871	453	882	1947	2721	3063	6252	11118
PF3D7_1023200	118	695	1418	1875	1758	1632	2065	1262
PF3D7_1222300	2164	1700	4010	12301	13755	17288	39229	60800
PF3D7_0518400	6	10	17	23	41	38	43	83
PF3D7_1009400	225	731	547	788	653	615	1105	1494
PF3D7_0630000	14	15	5	16	7	9	1	4
PF3D7_1320100	132	49	12	11	136	475	1585	3051
PF3D7_1100700	0	0	0	0	1	1	0	0
PF3D7_1302200	364	102	22	2	17	54	87	46
PF3D7_1221300	1479	214	88	64	144	686	2029	4178
PF3D7_0616800	102	43	122	635	771	765	1695	2446
PF3D7_1429700	290	460	686	1392	927	1215	2640	3134
PF3D7_1441700	45	19	15	10	81	182	367	402
PF3D7_0415300	1986	8071	9323	13979	8522	7740	8054	4989
PF3D7_0806800	26294	20001	15355	22083	14334	11066	15767	22689
PF3D7_1119300	3415	7186	7160	8842	5697	6780	9064	6707
PF3D7_0222900	0	0	0	0	2	0	0	0
PF3D7_0105800	1929	269	118	71	138	831	3666	7841
PF3D7_0526600	308	176	114	203	742	2530	3866	2675
PF3D7_1423800	860	2749	3392	4363	2353	1873	3624	5304
PF3D7_0822100	140	600	965	1593	1555	1164	1387	925
PF3D7_0924100	385	579	1050	1504	1391	1153	1809	2404
PF3D7_0918400	28	30	38	29	32	12	38	19
PF3D7_1441000	2906	2472	2546	2385	2230	2002	4012	7958
PF3D7_1015100	230	290	282	396	351	377	558	1467
PF3D7_0322400	347	2238	4044	4759	3125	2514	3207	1657
PF3D7_0507500	31970	5261	1206	362	125	149	79	577
PF3D7_0521100	13	5	1	0	14	52	126	165
PF3D7_1254400	1	16	19	7	1	1	0	0
PF3D7_1107400	138	85	34	60	142	945	2881	2996
PF3D7_0810800	48	29	103	963	2814	2920	3274	1584
PF3D7_0830900	1250	221	382	1923	2366	1057	846	460
PF3D7_1438000	2629	5532	7396	8742	6296	5436	7747	6995
PF3D7_0937200	14	23	35	30	52	71	123	111
PF3D7_0832100	173	66	17	10	24	7	0	5
PF3D7_1471800	38	51	37	39	32	70	63	71
PF3D7_1454200	794	1496	1946	1872	2002	1654	1399	629
PF3D7_1348600	2392	239	54	24	8	31	56	990
PF3D7_1203700	22052	26845	21430	23434	15093	17627	25196	24387
PF3D7_1247300	751	1061	1260	1384	925	697	1176	1248
PF3D7_1113100	25269	14616	13386	17869	13410	8727	11234	19758
PF3D7_0928800	204	77	40	40	699	1236	1993	1458
PF3D7_0601300	0	0	0	0	0	0	0	0
PF3D7_1033200	2625	2147	4490	17670	16376	10411	15657	33318
PF3D7_0702500	1761	11680	13494	31738	15715	11632	7952	3040
PF3D7_1362200	398	1471	2132	3674	2931	3139	3542	1837
PF3D7_1113300	449	123	103	168	537	1224	5229	10886
PF3D7_1138500	5700	7143	7155	8038	4675	4380	7420	12970
PF3D7_1421900	1006	144	51	29	224	608	2330	7025
PF3D7_1421200	1882	9355	15991	29640	25543	25929	31026	20811
PF3D7_1443800	200	329	546	885	876	888	1635	2660
PF3D7_0100200	100	81	84	95	33	31	44	333
PF3D7_0406000	2839	917	925	1715	1670	1698	2502	3424
PF3D7_1408300	6	7	3	6	3	6	11	30
